,run,accuracy,roc_auc,FNR,FPR,accuracy_diff,roc_auc_diff,FNR_diff,FPR_diff,beta2,beta2_pvalue,accuracy_corrected,roc_auc_corrected,FNR_corrected,FPR_corrected,accuracy_corrected_diff,roc_auc_corrected_diff,FNR_corrected_diff,FPR_corrected_diff
24,24,0.8839285714285714,0.9374550682961897,0.12149532710280374,0.1111111111111111,0.0008130081300813385,0.061698872785829306,-0.24637681159420288,0.10833333333333334,-0.2556247787337282,0.015593149810566587,0.8660714285714286,0.923396437415129,0.16822429906542055,0.10256410256410256,0.09024390243902436,0.061698872785829306,-0.6572463768115941,0.13055555555555556
25,25,0.8794642857142857,0.9393721543254253,0.1308411214953271,0.1111111111111111,-0.028048780487804903,-0.04161795651157363,-0.02618657937806876,0.04346504559270516,0.09641671793491993,0.35740265935655957,0.8794642857142857,0.9393721543254253,0.1308411214953271,0.1111111111111111,-0.028048780487804903,-0.04161795651157363,-0.02618657937806876,0.04346504559270516
26,26,0.8482142857142857,0.908139627765796,0.16822429906542055,0.13675213675213677,-0.06367346938775509,-0.03636439070649611,0.0017543859649122862,0.08141891891891892,0.41127374084875856,1.306831170388989e-06,0.8035714285714286,0.863886891924275,0.2523364485981308,0.1452991452991453,-0.0424489795918368,-0.03636439070649611,0.09649122807017543,-0.02466216216216216
27,27,0.8482142857142857,0.9281092739036664,0.12149532710280374,0.1794871794871795,0.04400871459694988,0.025466401919890247,-0.26988636363636365,0.06316781898177248,0.2125993842516715,0.04260230586718872,0.8482142857142857,0.9071012061666267,0.11214953271028037,0.18803418803418803,0.09281045751633987,0.025466401919890247,0.023674242424242417,-0.10716530483972345
28,28,0.8125,0.8938413611310808,0.205607476635514,0.17094017094017094,-0.03966904680947525,0.03522544283413853,-0.3036231884057971,0.2067901234567901,-0.0615992994740627,0.5455263206458332,0.8125,0.8938413611310808,0.205607476635514,0.17094017094017094,-0.03966904680947525,0.03522544283413853,-0.3036231884057971,0.2067901234567901
29,29,0.8571428571428571,0.9216391085549964,0.18691588785046728,0.10256410256410256,-0.04183006535947709,0.024935672514619922,-0.25877192982456143,0.12285714285714286,0.8840354083368787,0.0,0.5848214285714286,0.693425992491413,0.48598130841121495,0.3504273504273504,0.35577342047930277,0.024935672514619922,0.5473684210526316,-0.8276190476190476
30,30,0.875,0.9392123971563224,0.1308411214953271,0.11965811965811966,0.06398005816368924,0.025841062011274785,-0.02618657937806876,-0.09444444444444446,0.6379287943928827,2.220446049250313e-16,0.7366071428571429,0.7895998082913971,0.2803738317757009,0.24786324786324787,0.20294972995430005,0.025841062011274785,0.3191489361702128,-0.4638888888888889
31,31,0.8303571428571429,0.899952072849269,0.18691588785046728,0.15384615384615385,0.050270045700041566,0.029083918548163834,-0.2673202614379085,0.049101412066752254,-0.1500828463041244,0.16385008213067698,0.8303571428571429,0.899952072849269,0.18691588785046728,0.15384615384615385,0.050270045700041566,0.029083918548163834,-0.2673202614379085,0.049101412066752254
32,32,0.8571428571428571,0.918443965172937,0.14953271028037382,0.13675213675213677,-0.02689358125853547,0.055653021442495176,-0.019298245614035092,0.041666666666666685,0.4118404788044279,1.7139027609580637e-05,0.7857142857142857,0.8429587027717869,0.18691588785046728,0.23931623931623933,0.2067444059249921,0.055653021442495176,0.11666666666666668,-0.3333333333333333
33,33,0.8482142857142857,0.9141305216071571,0.14018691588785046,0.1623931623931624,-0.01881446220106542,-0.017437770562770627,-0.046401515151515166,0.05681818181818182,0.2543640241972505,0.01469483349545242,0.8303571428571429,0.8803019410496046,0.1588785046728972,0.1794871794871795,-0.016547659526238268,-0.017437770562770627,0.17708333333333334,-0.03116883116883118
